"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2025","271.50","275.50","275.75","270.50","23.66M","-1.09%"
"06/24/2025","274.50","270.00","275.75","265.00","60.71M","8.50%"
"06/23/2025","253.00","253.00","254.00","249.20","27.92M","-1.46%"
"06/20/2025","256.75","257.25","258.50","254.00","19.88M","1.88%"
"06/19/2025","252.00","258.00","259.50","252.00","20.78M","-2.04%"
"06/18/2025","257.25","260.25","260.75","256.00","27.51M","-1.72%"
"06/17/2025","261.75","265.25","266.00","261.50","21.06M","-1.32%"
"06/16/2025","265.25","263.50","268.25","259.50","28.02M","1.90%"
"06/13/2025","260.31","259.07","263.02","255.13","37.72M","-5.38%"
"06/12/2025","275.11","283.25","283.50","274.37","34.29M","-4.04%"
"06/11/2025","286.71","287.20","288.19","285.48","21.09M","-0.17%"
"06/10/2025","287.20","285.23","289.42","285.23","28.56M","0.25%"
"06/05/2025","286.50","285.75","287.00","284.75","5.31M","-0.17%"
"06/04/2025","287.00","283.25","287.50","281.75","21.15M","1.15%"
"06/03/2025","283.75","278.00","284.25","277.75","22.25M","2.90%"
"06/02/2025","275.75","272.50","276.50","272.00","23.23M","0.91%"
"05/30/2025","273.25","279.00","280.25","273.00","24.84M","-1.89%"
"05/29/2025","278.50","278.75","281.00","277.25","24.12M","0.72%"
"05/28/2025","276.50","275.50","279.00","274.50","21.46M","0.55%"
"05/27/2025","275.00","280.50","283.00","275.00","26.58M","-1.79%"
"05/26/2025","280.00","282.50","282.75","279.25","25.34M","0.09%"
"05/23/2025","279.75","283.50","286.25","279.75","35.29M","-1.58%"
"05/22/2025","284.25","283.50","287.50","278.25","49.32M","1.61%"
"05/21/2025","279.75","286.75","287.00","279.75","42.50M","-2.44%"
"05/20/2025","286.75","293.75","293.75","286.00","28.20M","-2.13%"
"05/16/2025","293.00","294.00","296.25","288.75","30.63M","-0.26%"
"05/15/2025","293.75","299.75","301.00","292.25","16.72M","-1.76%"
"05/14/2025","299.00","303.25","303.25","299.00","23.81M","-1.81%"
"05/13/2025","304.50","307.50","308.50","303.00","19.28M","-1.62%"
"05/12/2025","309.50","305.50","309.75","302.75","25.07M","5.27%"
"05/09/2025","294.00","285.50","296.50","285.50","27.74M","3.34%"
"05/08/2025","284.50","280.50","285.50","279.00","22.49M","2.06%"
"05/07/2025","278.75","290.50","291.00","276.25","27.15M","-4.46%"
"05/06/2025","291.75","294.25","296.25","291.25","15.72M","-0.77%"
"05/05/2025","294.00","295.00","296.50","287.00","19.28M","0.43%"
"05/02/2025","292.75","285.50","295.00","285.50","21.05M","2.99%"
"04/30/2025","284.25","298.75","300.25","283.25","33.32M","-4.53%"
"04/29/2025","297.75","305.50","306.25","297.75","28.40M","-4.80%"
"04/28/2025","312.75","318.00","318.75","312.75","16.15M","-1.57%"
"04/25/2025","317.75","322.00","323.50","317.75","16.26M","-1.17%"
"04/24/2025","321.50","322.25","323.50","318.00","16.09M","0.47%"
"04/22/2025","320.00","316.50","321.25","316.50","22.78M","1.59%"
"04/21/2025","315.00","319.00","320.00","314.00","18.77M","-1.25%"
"04/18/2025","319.00","323.50","323.75","317.00","17.56M","-1.39%"
"04/17/2025","323.50","320.50","325.25","320.00","29.68M","1.17%"
"04/16/2025","319.75","320.00","322.50","318.00","27.67M","-0.08%"
"04/15/2025","320.00","313.50","320.50","312.25","37.60M","2.15%"
"04/14/2025","313.25","312.75","315.00","311.75","23.82M","1.05%"
"04/11/2025","310.00","306.75","310.00","306.00","26.42M","1.31%"
"04/10/2025","306.00","314.75","315.25","306.00","27.58M","0.00%"
"04/09/2025","306.00","307.00","310.75","305.50","32.43M","-0.73%"
"04/08/2025","308.25","314.00","314.75","308.25","28.24M","-0.56%"
"04/07/2025","310.00","298.50","314.00","294.75","49.08M","1.72%"
"04/04/2025","304.75","305.75","308.00","303.75","24.78M","0.25%"
"04/03/2025","304.00","305.50","308.50","304.00","18.37M","-0.33%"
"04/02/2025","305.00","308.75","309.50","305.00","17.27M","-1.93%"
"03/28/2025","311.00","309.25","311.50","302.50","25.05M","0.81%"
"03/27/2025","308.50","315.25","316.00","308.00","30.78M","-0.40%"
"03/26/2025","309.75","309.00","313.75","307.75","30.94M","-0.72%"
"03/25/2025","312.00","308.00","315.25","306.50","43.12M","2.97%"
"03/24/2025","303.00","294.75","305.75","291.50","55.34M","6.04%"
"03/21/2025","285.75","306.25","306.75","282.25","52.55M","-7.22%"
"03/20/2025","308.00","302.75","316.25","302.75","54.15M","2.24%"
"03/19/2025","301.25","309.00","318.75","295.00","63.13M","-7.87%"
"03/18/2025","327.00","331.00","332.00","326.75","29.49M","-2.10%"
"03/17/2025","334.00","337.50","339.00","333.25","25.64M","-0.89%"
"03/14/2025","337.00","339.50","339.50","336.00","26.90M","-0.22%"
"03/13/2025","337.75","336.00","339.50","334.50","44.49M","1.27%"
"03/12/2025","333.50","333.25","336.50","332.25","31.57M","0.91%"
"03/11/2025","330.50","334.00","335.00","330.50","23.78M","-0.75%"
"03/10/2025","333.00","335.75","338.75","331.75","27.07M","-0.82%"
"03/07/2025","335.75","334.75","338.50","333.25","33.03M","-0.07%"
"03/06/2025","336.00","328.25","336.00","324.25","54.89M","2.99%"
"03/05/2025","326.25","319.50","326.75","319.00","47.80M","2.84%"
"03/04/2025","317.25","314.25","319.75","313.25","35.05M","0.87%"
"03/03/2025","314.50","311.25","319.75","309.75","49.15M","2.03%"
"02/28/2025","308.25","313.00","313.50","305.75","48.60M","-2.38%"
"02/27/2025","315.75","308.25","316.75","307.50","51.60M","2.43%"
"02/26/2025","308.25","305.75","310.00","305.00","25.83M","1.15%"
"02/25/2025","304.75","309.75","311.50","304.25","23.82M","-1.53%"
"02/24/2025","309.50","312.50","314.25","308.50","25.54M","0.08%"
"02/21/2025","309.25","316.25","317.50","305.50","39.09M","-2.06%"
"02/20/2025","315.75","318.75","325.25","315.00","33.19M","-0.79%"
"02/19/2025","318.25","324.75","326.00","317.00","32.68M","-2.08%"
"02/18/2025","325.00","320.00","327.00","318.50","41.07M","1.72%"
"02/17/2025","319.50","317.50","321.50","314.50","31.43M","0.87%"
"02/14/2025","316.75","319.75","323.00","315.00","26.20M","-0.78%"
"02/13/2025","319.25","320.00","321.50","318.50","22.66M","0.71%"
"02/12/2025","317.00","320.00","321.25","316.00","37.86M","-0.78%"
"02/11/2025","319.50","319.50","320.00","313.50","27.26M","-0.23%"
"02/10/2025","320.25","322.25","323.50","318.50","24.09M","-0.62%"
"02/07/2025","322.25","313.50","322.50","312.00","37.33M","2.79%"
"02/06/2025","313.50","306.50","316.25","306.50","38.13M","3.21%"
"02/05/2025","303.75","304.25","306.75","297.50","37.61M","0.08%"
"02/04/2025","303.50","314.75","316.25","303.25","39.06M","-3.27%"
"02/03/2025","313.75","315.00","318.00","311.75","35.29M","-1.03%"
"01/31/2025","317.00","313.25","317.75","313.00","32.12M","1.28%"
"01/30/2025","313.00","313.25","316.50","312.00","30.50M","0.00%"
"01/29/2025","313.00","311.75","314.50","309.00","32.49M","0.40%"
"01/28/2025","311.75","307.00","312.75","304.75","37.74M","1.71%"
"01/27/2025","306.50","307.25","312.50","304.75","44.35M","-0.81%"
"01/24/2025","309.00","310.00","311.00","306.00","25.72M","-0.24%"
"01/23/2025","309.75","306.00","311.75","303.00","38.92M","1.47%"
"01/22/2025","305.25","301.75","305.75","300.50","23.40M","1.33%"
"01/21/2025","301.25","304.25","305.50","299.75","24.19M","-1.47%"
"01/20/2025","305.75","305.00","306.00","301.75","27.88M","0.74%"
